Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
17426,NP1,,,
17426,NP2,5,30600,16
17426,NP3,5,30600,16
17426,NP4,,,
17426,NP5,,,
17426,NP6,5,30600,16
17426,NP7,,,
17426,NP8,,,
17426,NP9,,,
17426,NP10,,,
17426,NP11,6,70200,37
17426,NP12,,,
17426,NP13,,,
17426,NP14,5,50400,27
17426,NP15,,,
17426,NP16,,,
17426,NP17,,,
17426,NP18,,,
17426,NP19,,,
17426,NP20,,,
17426,NP21,5,30600,16
17426,NP22,5,34200,18
17426,NP23,,,
17426,NP24,5,30600,16
17426,NP25,5,41400,22
17426,NP26,,,
17426,NP27,6,70200,37
17426,NP28,,,
17426,NP29,,,
17426,NP30,5,45000,24
17426,NP31,,,
17426,NP32,6,70200,37
17426,NP33,,,
17426,NP34,5,30600,16
17426,NP35,,,
17426,NP36,,,
17426,NP37,,,
17426,NP38,,,
17426,NP39,,,
17426,NP40,,,
17426,NP41,,,
17426,NP42,5,30600,16
17426,NP43,5,30600,16
17426,NP44,,,
17426,NP45,6,70200,37
17426,NP46,5,30600,16
17426,NP47,,,
17426,NP48,,,
17426,NP49,6,73800,39
17426,NP50,,,
17426,NP51,5,30600,16
17426,NP52,,,
17426,NP53,,,
17426,NP54,5,34200,18
17426,NP55,,,
17426,NP56,,,
41750,NP57,5,43200,23
41750,NP58,5,43200,23
41750,NP59,,,
41750,NP60,5,43200,23
41750,NP61,5,43200,23
41750,NP62,,,
41750,NP63,5,43200,23
41750,NP64,,,
41750,NP65,,,
41750,NP66,5,45000,24
41750,NP67,6,72000,38
41750,NP68,,,
41750,NP69,5,64800,34
41750,NP70,5,43200,23
41750,NP71,5,43200,23
41750,NP72,,,
41750,NP73,,,
41750,NP74,5,43200,23
41750,NP75,5,43200,23
41750,NP76,5,54000,29
41750,NP77,5,43200,23
41750,NP78,5,43200,23
41750,NP79,5,57600,30
41750,NP80,5,43200,23
41750,NP81,5,46800,25
41750,NP82,5,43200,23
41750,NP83,5,43200,23
41750,NP84,5,43200,23
41750,NP85,5,43200,23
41750,NP86,5,43200,23
41750,NP87,,,
41750,NP88,,,
41750,NP89,5,68400,36
41750,NP90,,,
41750,NP91,,,
41750,NP92,,,
41750,NP93,,,
41750,NP94,5,50400,27
41750,NP95,5,43200,23
41750,NP96,5,43200,23
71862,NP97,,,
71862,NP98,,,
71862,NP99,6,79200,42
71862,NP100,5,72000,38
71862,NP101,6,72000,38
71862,NP102,,,
71862,NP103,5,72000,38
71862,NP104,5,72000,38
71862,NP105,6,81000,43
71862,NP106,5,73800,39
71862,NP107,,,
71862,NP108,6,72000,38
71862,NP109,6,73800,39
71862,NP110,,,
71862,NP111,6,79200,42
71862,NP112,,,
71862,NP113,5,72000,38
71862,NP114,6,79200,42
71862,NP115,6,72000,38
71862,NP116,,,
71862,NP117,,,
71862,NP118,,,
71862,NP119,5,90000,48
71862,NP120,5,73800,39
71862,NP121,6,73800,39
71862,NP122,5,72000,38
71862,NP123,,,
71862,NP124,6,72000,38
71862,NP125,5,72000,38
71862,NP126,6,73800,39
71862,NP127,6,72000,38
71862,NP128,6,73800,39
