Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
33448,NP1,3,34200,18
33448,NP2,3,34200,18
33448,NP3,3,34200,18
33448,NP4,3,34200,18
33448,NP5,3,34200,18
33448,NP6,3,34200,18
33448,NP7,3,34200,18
33448,NP8,3,34200,18
33448,NP9,3,34200,18
33448,NP10,3,34200,18
33448,NP11,4,70200,38
33448,NP12,3,34200,18
33448,NP13,3,34200,18
33448,NP14,3,34200,18
33448,NP15,3,34200,18
33448,NP16,3,34200,18
33448,NP17,3,34200,18
33448,NP18,3,34200,18
33448,NP19,3,34200,18
33448,NP20,3,34200,18
33448,NP21,3,34200,18
33448,NP22,3,34200,18
33448,NP23,3,34200,18
33448,NP24,3,34200,18
33448,NP25,3,34200,18
33448,NP26,3,34200,18
33448,NP27,3,34200,18
33448,NP28,3,34200,18
33448,NP29,,,
33448,NP30,3,34200,18
83901,NP31,,,
83901,NP32,4,84600,46
83901,NP33,4,84600,46
83901,NP34,4,84600,46
83901,NP35,3,84600,46
83901,NP36,4,84600,46
83901,NP37,4,84600,46
83901,NP38,4,84600,46
83901,NP39,3,84600,46
83901,NP40,4,84600,46
83901,NP41,4,84600,46
83901,NP42,3,84600,46
83901,NP43,4,84600,46
83901,NP44,4,84600,46
83901,NP45,,,
83901,NP46,,,
83901,NP47,4,84600,46
83901,NP48,4,84600,46
83901,NP49,4,84600,46
83901,NP50,4,84600,46
83901,NP51,4,84600,46
83901,NP52,4,84600,46
